id,created_at,text
761479447392423936,2016-08-05 08:30:22,Man darf nicht mit einer #Ente auf dem Kopf die Staatsgrenze zu Minnesota betreten.
757130798025801729,2016-07-24 08:30:23,"Freiwilliges gegenseitiges Hintern versohlen, bringt #Paare einander wieder näher."
756768433832943616,2016-07-23 08:30:29,"Wenn man bei Microsoft #Word ""=rand()"" eingibt und dann auf Enter drückt, erscheint ein vorgefertigter Text."
756406000656211968,2016-07-22 08:30:18,"1996 wurde in Schweden der erste #McSki, ein #McDonalds mit Drive In für Ski-Fahrer, eröffnet."
756043638514282496,2016-07-21 08:30:24,"Aus den Buchstaben des Wortes ""Regierung"" lässt sich auch ""Genug Irre"" bilden."
755681238548090880,2016-07-20 08:30:21,Die kürzeste #Autobahn Deutschlands war die Bundesautobahn 862 (A862) mit nur 400m Gesamtlänge.
755318893070155776,2016-07-19 08:30:31,"Nach 17 Stunden #Schlafentzug reagiert der Körper wie bei einem Blutalkoholspiegel von 0,5 Promille."
754231717536333825,2016-07-16 08:30:29,Das Quaken einer #Enter erzeugt kein #Echo.
753869391608082434,2016-07-15 08:30:43,"Die schnellste #Landschnecke bewegt sich mit 0,05 km/h fort."
753506893625233408,2016-07-14 08:30:17,Die meisten #Elefanten wiegen weniger als die Zunge eines #Blauwals.
753144582393696257,2016-07-13 08:30:35,Eine #Mücke hat 47 Zähne.
752419872148164608,2016-07-11 08:30:51,Man darf in #Deutschland nur mit ausdrücklicher Erlaubnis des zu stelligen Amtes in #Abwasserkanälen schwimmen.
752057309128450048,2016-07-10 08:30:09,"Ein Gesetz in Carlifornien besagt, dass man seinen #Elefanten nicht an einem #Hydranten ketten darf"
750970251995672576,2016-07-07 08:30:35,In französischen Zügen ist das #Küssen verboten.
750611555977486336,2016-07-06 08:45:15,"#Schlafwandeln kann in Chicago, Illionois schlimme Folgen haben. Hier ist es illegal, im Pyjama #Fischen zu gehen."
750245358123544576,2016-07-05 08:30:06,"In #China dürfen ertrinkende Menschen nicht gerettet werden, weil dies ein Eingriff in ihr #Schicksal wäre."
749520651942322176,2016-07-03 08:30:23,"#Männer dürfen in der Öffentlichkeit urinieren, solange es am Hinterreifen des eigenen Autos passiert und die rechte Hand auf dem #Auto ist."
749158249023279105,2016-07-02 08:30:19,"In der Deutschen StVO heißt es: Nackt #Autofahren ist erlaubt. Wer aber unbekleidet aus dem Wagen steigt, riskiert ein Bußgeld von 40 Euro."
737199473491906561,2016-05-30 08:30:25,In #Berlin regnet es täglich zehn Tonnen Taubenextremente.
736837074372956160,2016-05-29 08:30:22,Eine Abgabe von 1% auf das Vermögen der 200 reichsten Menschen könnte die grundlegende Schulbildung für alle Kinder der Welt finanzieren.
736474620728086528,2016-05-28 08:30:07,"Eine Amerikanische #Studie hat gezeigt, das teure Placebos besser wirken als billige."
736112338990977024,2016-05-27 08:30:32,"Geschiedene #Männer schlafen in Doppelbetten meist auf jener Seite, auf der früher mal die Ehefrau geschlafen hat."
735749939045666817,2016-05-26 08:30:29,"Bei den #Römern war es üblich, ungehorsame Sklaven Muränen zum Fraß vorzuwerfen. Diese waren wiederum eine Delikatesse für reiche Römer."
735387446951710720,2016-05-25 08:30:04,Es gibt weltweit kein #Katzenfutter mit Mäusegeschmack.
735025182813884416,2016-05-24 08:30:34,"Das #Gesetz des Staates Pennsylvania enthält eine Regelung, die es untersagt, in Badewannen zu singen."
734662771908988928,2016-05-23 08:30:28,Eine #Eieruhr hat ihren Namen davon dass sie mit fein geriebenen Eierschalen gefüllt war. Sand konnte nicht so konstant fließen.
734300320633884672,2016-05-22 08:30:13,"Personen mit einer Gamophobie haben nicht nur Angst vor dem #Heiraten, sondern gehen auch ungerne auf Hochzeiten."
733938003626864640,2016-05-21 08:30:30,"In Tuscon, Arizona wird es #Frauen per Verordnung verboten, Unterhosen zu tragen."
719804810741096448,2016-04-12 08:30:14,"Die Formel zur Berechnung der #Körperoberfläche eines Menschen lautet: KOF = 0,007184 x Größe[cm]^0,725 x Gewicht[kg]^0,425"
714368994166325249,2016-03-28 08:30:15,Die Weltpostsprache ist #Französisch.
713297002386366464,2016-03-25 09:30:32,"Männer neigen dazu, eher schönere Frauen anzuflirten, wohingegen Frauen sich überwiegend ähnlich attraktive #Partner suchen."
712934598372671488,2016-03-24 09:30:28,Die schnellste gelbe Karte der #Fußballgeschichte bekam 1992 der Spieler Vinnie Jones für ein Foul nach nur drei Sekunden Spielzeit.
709310714104643584,2016-03-14 09:30:27,#Taiwan und #Luxemburg sind die einzigen Länder mit mehr Handys als Einwohnern.
708948253925101568,2016-03-13 09:30:10,"#Monstern ist es in Urbana, Illinois verboten, das Stadtgebiet zu betreten."
708585856060301312,2016-03-12 09:30:07,Albert Einstein arbeitet 1896 als Elektriker auf dem #Oktoberfest.
708223500549558272,2016-03-11 09:30:15,#Ikea macht 25% seines Umsatzes mit seinen Restaurants und 50% mit Nebenprodukten. Nur etwa ein viertel des Umsatzes stammt vom Möbelverkauf
707861186335907840,2016-03-10 09:30:32,"Weil eine Inderin in ihrem Dorf nicht angesehen war, hat sie ein #Buch geheiratet. Bücher sind in #Indien hochgeachtet."
707498695995080705,2016-03-09 09:30:08,Ein #Zahnstocher ist das am häufigsten von Amerikanern verschluckte Objekt.
707136441210544132,2016-03-08 09:30:40,"90% aller protokollierten Fälle von ""Mann über Bord"", sind #Männer die betrunken vom Heck pinkeln und dabei von #Bord fallen."
706774059003019264,2016-03-07 09:30:41,"Gäbe es den #Weihnachtsmann, so müsste er mit einer derart hohen Geschwindigkeit fliegen, dass er mitsamt Schlitten und Rentieren verdampft."
706411573397626880,2016-03-06 09:30:18,"Eine #Fliege, die gerade ins Wasserglas gestürzt ist, kann man wiederbeleben, indem man sie mit Kochsalz bestreut."
706049282386870272,2016-03-05 09:30:41,"In South Bend, Indiana ist es #Affen gesetzlich verboten zu rauchen."
705686777315651584,2016-03-04 09:30:13,"In Deutschland ist es verboten, im #Gleichschritt über eine Brücke zu marschieren. (StVO §27, Abs. 6)"
705324391735959552,2016-03-03 09:30:13,Das #Fußballspiel zwischen AS Adema und SOE Antananarivo endete im Jahr 2002 149:0! Aus Protest wurden nur noch #Eigentore geschossen.
704962016562290689,2016-03-02 09:30:16,"Im US-Bundesstaat Oklahoma ist im Jahr 2000 eine Schülerin vom #Unterricht ausgeschlossen worden, der Vorwurf lautete auf: #Hexerei."
701338130989891584,2016-02-21 09:30:15,Jede Stunde die man #schläft nimmt man ca. 42 Gramm ab.
698801381273157632,2016-02-14 09:30:07,"Um sein Revier zu markieren, macht ein #Pandabär einen Handstand und uriniert so hoch er kann auf einen Baum."
698477022134329344,2016-02-13 12:01:13,RT @Bennnnni: Leckeres #LowCarb #Valentinstag #Geschenk :-) Leckerer Kuchen in Herzoptik #Rezept -&gt; https://t.co/2UEpm2t4uy https://t.co/GV…
698439056418566144,2016-02-13 09:30:22,"Als ""Anatidenphobie"" bezeichnet man die #Angst von einer Ente beobachtet zu werden."
692278416230486016,2016-01-27 09:30:10,"""Metsotso e mashome ameraro ka mora hora ya leshome le motso e mong"" heißt in der südafrikanischen #Sprache Sesotho: ""halb elf""."
691916116814401537,2016-01-26 09:30:32,"Laut dem #Oxford English Dictionary ist ""pneumonoultramicroscopicsilicovolcanoconiosis"" das längste Wort der englischen Sprache."
686480281570775040,2016-01-11 09:30:27,In Jamaica gibt es keine Promillegrenze beim #Autofahren.
686117855432146945,2016-01-10 09:30:18,"Einem Erlass in Arizona zufolge muss jeder, der #Seife gestohlen hat, sich so lange damit waschen, bis es vollkommen aufgebraucht ist."
685755499392974848,2016-01-09 09:30:26,"Das Schweizer Militär nennt #Brieftauben ""Flugkörper auf biologischer Basis mit fest programmierter Rückkehr aus allen Richtungen&amp;Distanzen"""
685393106984894464,2016-01-08 09:30:25,In England war bis in den 50er Jahren #Selbstmord gesetzlich verboten und konnte bei Misslingen mit der #Todesstrafe geahndet werden.
685030799868084224,2016-01-07 09:30:44,"58 % aller #Männer haben schon mal versucht, ihren Namen in den #Schnee zu pinkeln."
684305871212548097,2016-01-05 09:30:08,"Eine #Frau verbringt während ihres ganzen Lebens im Durchschnitt 74 Tage mit der Hand in der #Handtasche, während sie nach etwas sucht."
683943517715099649,2016-01-04 09:30:16,"650 Personen müssen jedes Jahr ins #Krankenhaus, weil sie in #Paris auf Hundescheiße ausgerutscht sind."
683581087205949440,2016-01-03 09:30:06,"Die Chance zu sterben, indem man aus dem #Bett fällt, liegt bei 1 : 2.000.000."
683218767812423680,2016-01-02 09:30:22,"In Topsail Beach, North Carolina, ist es #Hurrikanen und #Tornados per gesetzlicher Verordnung verboten, die Stadtgrenzen zu überqueren."
682856368852844544,2016-01-01 09:30:19,Mit einem typischen #Bleistift kann man eine Linie von 56km ziehen. #FrohesNeuesJahr :)
682494108968030209,2015-12-31 09:30:50,"Weltweit jeder vierte Schaden an #Fotokopierern von Leuten verursacht, die darauf sitzen um ihren #Hintern zu kopieren."
682131659647545344,2015-12-30 09:30:35,Das #Feuerzeug wurde vor dem #Streichholz erfunden.
675246245397577728,2015-12-11 09:30:25,Die französische #Schauspielerin Sarah Bernhardt legte sich zum Text lernen in einen #Sarg. Dort empfing sie auch ihre Liebhaber.
674883857376804864,2015-12-10 09:30:24,Ausgemusterte #Geldscheine werden in Deutschland in genau 800 Schnipsel zerhäckselt
674521411592052736,2015-12-09 09:30:11,Das größte bekannte #Lebewesen ist ein Dunkler Hallimasch in Oregon: ein #Pilz auf neun Quadratkilometern.
674159059726127104,2015-12-08 09:30:19,Ein #Erwachsener schluckt rund sechshundertmal am Tag.
673796635273621504,2015-12-07 09:30:11,"Die Wahrscheinlichkeit, glücklich zu sein, ist auf einer #Insel größer als auf dem Festland."
